date,XLC,XLRE,XLB,XLE,XLF,XLI,XLK,XLP,XLU,XLV,XLY
2024-04-02,71.9537,38.41,91.48392486572266,94.88809204101562,41.35567092895508,123.58283996582033,206.1075439453125,74.39994049072266,64.40082550048828,143.09352111816406,179.07447814941406
2024-04-03,72.9682,38.43,92.02887725830078,95.5374755859375,41.3358268737793,124.21857452392578,206.65560913085935,73.58051300048828,64.14463806152344,142.9347381591797,179.2039337158203
2024-04-04,71.6688,38.13,91.09749603271484,95.47843170166016,40.86936950683594,123.12588500976562,203.38720703125,73.26458740234375,64.01655578613281,140.8705596923828,177.102783203125
2024-04-05,71.3228,38.38,91.91988372802734,96.50170135498048,41.25642395019531,124.8344497680664,205.71893310546875,73.38306427001953,64.2037582397461,142.1309051513672,178.088623046875
2024-04-08,71.6174,38.71,91.98924255371094,95.89167785644533,41.43506622314453,124.61591339111328,205.4797821044922,73.27446746826172,64.62744903564453,141.6743927001953,179.78147888183594
2024-04-09,72.2588,39.2,92.2072296142578,95.9211883544922,41.196876525878906,124.32785034179688,206.51609802246097,73.6298828125,64.98216247558594,142.18052673339844,180.62791442871097
2024-04-10,70.4419,37.59,90.77051544189452,96.21636962890624,40.5815544128418,123.26496124267578,203.985107421875,73.36331939697266,63.868751525878906,140.51329040527344,177.8396759033203
2024-04-11,71.0894,37.63,90.70115661621094,96.14749145507812,40.293739318847656,123.4040298461914,208.06060791015625,73.18560791015625,63.74065780639648,139.9376983642578,179.2736358642578
2024-04-12,69.02,37.24,89.09600830078125,94.58308410644533,39.75782012939453,122.08287048339844,204.6925811767578,72.44515991210938,63.25784683227539,137.85366821289062,176.36590576171875
2024-04-15,68.1569,36.59,88.6699447631836,93.69756317138672,39.559326171875,121.20872497558594,200.806396484375,72.14898681640625,62.676509857177734,137.5758056640625,173.4282989501953
2024-04-16,67.9949,36.03,87.98627471923828,92.88092041015624,39.29136276245117,120.93058013916016,201.0455322265625,72.17860412597656,61.84883499145508,137.6254119873047,172.4424591064453
2024-04-17,67.6521,35.73,88.18443298339844,92.61526489257812,39.39060592651367,120.30477905273438,198.14584350585935,72.44515991210938,63.139610290527344,137.3872528076172,171.60598754882812
2024-04-18,67.713,35.74,88.21415710449219,92.32992553710938,39.5295524597168,119.8875732421875,195.88389587402344,72.78083801269531,63.494327545166016,137.3773193359375,170.5404815673828
2024-04-19,67.8681,35.88,88.14480590820312,93.4417495727539,40.07540512084961,119.66902923583984,191.8482208251953,73.49166870117188,64.46979522705078,137.8933563232422,169.04678344726562
2024-04-22,67.7585,36.17,88.23397827148438,94.05176544189452,40.56170654296875,120.5729751586914,193.5621337890625,74.19261932373047,65.06098937988281,138.41934204101562,169.7936248779297
2024-04-23,68.6079,36.5,87.47103118896484,94.5732421875,40.81974411010742,122.25173950195312,196.4319305419922,74.39994049072266,65.36643981933594,140.22549438476562,171.81509399414062
2024-04-24,68.6554,36.64,87.53047943115234,94.64212036132812,40.80982208251953,121.27825164794922,197.32875061035156,74.96267700195312,65.76057434082031,139.78884887695312,173.45816040039062
2024-04-25,68.1714,36.43,88.15470886230469,95.07502746582033,40.571632385253906,121.6457977294922,196.90028381347656,74.78497314453125,65.93792724609375,138.85598754882812,173.60752868652344
2024-04-26,69.049,36.46,88.69966888427734,94.19935607910156,40.5120849609375,121.84446716308594,199.1223907470703,74.62700653076172,65.2186508178711,138.89569091796875,175.1709442138672
2024-04-29,69.2979,36.87,89.44279479980469,94.83889770507812,40.45253372192383,122.65901947021484,199.97933959960935,74.86396026611328,66.10543060302734,139.3621063232422,179.24375915527344
2024-04-30,68.0677,36.19,87.81782531738281,92.01507568359376,40.0555534362793,120.71204376220705,195.57498168945312,74.53815460205078,65.76057434082031,139.26287841796875,174.8821563720703
2024-05-01,68.7602,36.21,88.27360534667969,90.54905700683594,40.0555534362793,120.4140396118164,193.5720977783203,74.06427001953125,66.51927947998047,139.51097106933594,173.7867889404297
2024-05-02,69.2666,36.73,87.81782531738281,91.07052612304688,40.15480041503906,121.10938262939452,196.3621826171875,74.68624877929688,66.87399291992188,139.41172790527344,175.9775390625
2024-05-03,69.6215,37.02,88.70957946777344,91.0803680419922,40.24412155151367,121.95372772216795,201.83273315429688,74.91331481933594,67.40606689453125,139.75906372070312,177.16253662109375
2024-05-06,70.4871,37.03,89.24462890625,91.7986297607422,40.760196685791016,123.18549346923828,204.2042999267578,74.95280456542969,67.75093078613281,140.32472229003906,179.0545654296875
2024-05-07,70.3592,37.42,90.30482482910156,91.71006774902344,40.89914321899414,123.52322387695312,203.53668212890625,75.77223205566406,68.51948547363281,141.48583984375,177.7699737548828
2024-05-08,70.3494,37.07,89.88867950439453,91.60183715820312,41.04801177978515,123.52322387695312,204.11463928222656,75.545166015625,69.23876190185547,140.9995574951172,177.102783203125
2024-05-09,71.7769,37.95,90.88941955566406,92.83171844482422,41.35567092895508,124.7549819946289,204.05484008789065,76.1967544555664,70.2930679321289,142.2102813720703,178.30770874023438
2024-05-10,72.1076,37.81,90.99840545654295,92.3200912475586,41.51446914672851,124.84439086914062,204.81214904785156,76.63114929199219,70.22409057617188,142.49807739257812,177.35174560546875
2024-05-13,72.1549,37.91,90.93895721435548,92.07411193847656,41.34574508666992,124.3179168701172,205.7787170410156,76.41395568847656,70.22409057617188,142.35914611816406,177.12271118164062
2024-05-14,73.4011,38.18,91.02813720703124,92.1921844482422,41.554161071777344,124.28811645507812,207.60223388671875,76.26586151123047,70.41130828857422,142.96450805664062,177.92930603027344
2024-05-15,73.5842,38.83,91.1866683959961,92.39881134033205,41.8618278503418,125.1026611328125,212.275634765625,76.31523132324219,71.4655990600586,145.08824157714844,178.1981658935547
2024-05-16,74.74,38.76,90.53272247314452,92.14299011230467,41.8618278503418,124.35765075683594,211.5382537841797,77.40121459960938,71.21926879882812,144.91952514648438,177.0430450439453
2024-05-17,75.4127,38.76,91.30557250976562,93.4319076538086,42.16948699951172,124.49671936035156,211.06993103027344,77.21363830566406,71.27838897705078,145.19740295410156,177.94921875
2024-05-20,75.7211,38.52,91.43437957763672,92.82188415527344,41.5938606262207,124.73512268066406,213.5511016845703,76.68051147460938,71.16015625,144.88975524902344,176.6248016357422
2024-05-21,74.7971,38.49,91.43437957763672,92.3692855834961,41.8618278503418,124.32785034179688,213.89987182617188,77.13465118408203,71.80062103271484,145.1378631591797,177.76002502441406
2024-05-22,74.2684,38.16,90.54261779785156,90.59825134277344,41.623634338378906,124.47684478759766,214.3781585693359,76.82860565185547,70.95323944091797,145.3958740234375,175.90782165527344
2024-05-23,72.69,37.35,89.74005126953125,89.77176666259766,41.04801177978515,123.0066909790039,212.6343536376953,75.92031860351562,69.75113677978516,143.8080596923828,173.05984497070312
2024-05-24,73.7842,37.35,90.52281188964844,89.8996810913086,41.29612350463867,123.63249969482422,214.4279937744141,76.1177749633789,70.45072174072266,143.32177734375,174.802490234375
2024-05-28,74.2501,37.13,90.17601776123048,90.82454681396484,40.839595794677734,122.1226043701172,215.3347625732422,75.5254135131836,70.38174438476562,141.5850830078125,174.37429809570312
2024-05-29,75.29,36.78,88.88793182373047,89.22077941894531,40.5120849609375,120.3941650390625,213.96961975097656,74.98242950439453,69.47525024414062,140.4835205078125,173.22914123535156
2024-05-30,75.9345,37.31,89.61124420166016,89.47660064697266,40.73042297363281,121.2186508178711,209.08697509765625,75.17987823486328,70.41130828857422,140.55299377441406,174.25482177734375
2024-05-31,76.42,38.05,90.69125366210938,91.70022583007812,41.325897216796875,122.6888198852539,209.41580200195312,76.3547134399414,71.65281677246094,142.60723876953125,175.23069763183594
2024-06-03,77.125,37.9,90.15619659423828,89.29949951171875,41.0678596496582,121.18885803222656,209.9439239501953,76.3250961303711,70.83499908447266,143.6095733642578,175.15101623535156
2024-06-04,76.9825,38.26,89.15546417236328,88.44348907470703,40.87929153442383,120.8908462524414,210.3823699951172,76.98656463623047,70.80543518066406,144.0263671875,175.3302764892578
2024-06-05,77.6,38.21,89.769775390625,88.43365478515625,40.998390197753906,122.11267852783205,215.0557556152344,76.8187255859375,70.40145111083984,144.6813507080078,176.35594177246094
2024-06-06,77.64,38.27,89.86885070800781,88.89608764648438,40.978538513183594,121.38751983642578,214.3383026123047,77.05567932128906,69.67230987548828,145.15771484375,177.64051818847656
2024-06-07,76.31,37.97,88.96719360351562,88.54188537597656,41.16710662841797,121.51666259765624,214.8365478515625,76.67064666748047,68.91361236572266,145.3164825439453,176.91358947753906
2024-06-10,75.6791,38.16,88.87802124023438,89.21094512939453,41.0083122253418,121.89413452148438,215.38458251953125,76.61140441894531,69.80039978027344,145.85238647460938,177.48118591308594
2024-06-11,76.2045,38.04,88.8482894897461,89.0338363647461,40.5418586730957,121.19879150390624,219.39035034179688,76.57191467285156,69.37672424316406,145.2470245361328,177.01316833496094
2024-06-12,76.5722,38.31,89.01673126220703,88.0794448852539,40.502159118652344,122.35107421875,224.2430877685547,75.73274230957031,68.9234619140625,144.9393768310547,178.85540771484375
2024-06-13,76.02,38.5,88.98701477050781,87.27264404296875,40.47238540649414,121.56632995605467,226.01681518554688,75.83146667480469,69.08111572265625,144.82028198242188,178.99481201171875
2024-06-14,75.3683,38.53,88.16461944580078,86.6232681274414,40.34336853027344,120.34451293945312,226.86378479003903,75.96968841552734,68.91361236572266,144.77066040039062,177.58078002929688
2024-06-17,76.6421,38.33,88.81857299804688,86.84956359863281,40.70064926147461,121.67559051513672,230.3015594482422,76.69038391113281,68.15491485595703,144.62181091308594,180.6976318359375
2024-06-18,76.1252,38.48,88.71949005126953,87.21361541748047,40.95869064331055,122.33120727539062,230.59054565429688,76.78911590576172,68.1844711303711,144.81036376953125,180.09019470214844
2024-06-20,75.6052,38.38,88.80866241455078,88.81737518310547,41.177032470703125,122.41067504882812,227.999755859375,76.62127685546875,68.77567291259766,145.2866973876953,180.31922912597656
2024-06-21,75.6363,38.48,88.81857299804688,88.30574035644531,41.01824188232422,122.15241241455078,227.6011657714844,76.68051147460938,68.3716812133789,145.693603515625,181.84280395507812
2024-06-24,75.2415,38.35,89.3910140991211,90.53235626220705,41.4397087097168,122.67171478271484,222.0211944580078,77.49817657470703,69.27059173583984,146.54342651367188,181.06640625
2024-06-25,75.2539,37.81,88.2560806274414,90.74063873291016,41.130828857421875,121.62511444091795,226.0938720703125,77.00081634521484,68.61503601074219,146.08514404296875,180.33790588378903
2024-06-26,75.5612,37.76,88.19634246826172,89.84800720214844,40.871768951416016,121.2961883544922,225.8343505859375,76.84165954589844,68.32698822021484,145.56707763671875,182.95249938964844
2024-06-27,76.81,38.1,87.94745635986328,90.0562973022461,40.82194900512695,121.4257583618164,225.94415283203125,76.51339721679688,68.44618225097656,145.3279571533203,184.0701904296875
2024-06-28,77.16,38.41,87.91758728027344,90.40342712402344,40.96144485473633,121.47560119628906,225.82435607910156,76.17520141601562,67.68136596679688,145.20840454101562,182.0244140625
2024-07-01,77.77,38.04,86.56362915039062,90.45301055908205,41.051116943359375,120.16983795166016,227.5312957763672,75.63805389404297,67.21452331542969,144.39144897460938,182.6431427001953
2024-07-02,77.7809,38.2,86.7229232788086,90.38358306884766,41.52938461303711,120.82770538330078,228.66925048828125,76.16525268554688,67.56216430664062,143.86341857910156,186.19581604003903
2024-07-03,77.9408,38.16,87.37004089355469,90.78031158447266,41.39985275268555,121.26628112792967,231.7537078857422,76.03594207763672,67.96941375732422,142.76751708984375,187.38336181640625
2024-07-05,78.06,38.3,87.50941467285156,89.36202239990234,41.389888763427734,120.82770538330078,232.4624481201172,76.9709701538086,68.08860778808594,143.87339782714844,188.91021728515625
2024-07-08,79.18,38.39,87.76826477050781,88.8165283203125,41.2802848815918,120.97721862792967,234.04959106445312,76.85160827636719,68.15813446044922,143.7139892578125,189.00003051757812
2024-07-09,78.3789,38.4,86.87226104736328,88.03300476074219,41.59912872314453,120.4489288330078,233.85992431640625,76.65265655517578,68.3567886352539,144.411376953125,189.6287384033203
2024-07-10,78.7004,38.67,88.03705596923828,88.62808227539062,41.75855255126953,121.5254364013672,237.2538299560547,76.9908676147461,69.00241088867188,145.77630615234375,191.0557861328125
2024-07-11,80.2288,39.7,89.24168395996094,89.55046844482422,42.08736038208008,123.07042694091795,231.3144989013672,76.70240020751953,70.26386260986328,146.80247497558594,188.63079833984375
2024-07-12,81.227,39.99,90.09786224365234,89.77857971191406,42.22685623168945,123.7781219482422,233.38079833984375,77.04059600830078,70.78036499023438,147.71905517578125,191.095703125
2024-07-15,81.8384,40.16,89.86888122558594,91.13735961914062,42.84461212158203,124.66524505615234,233.8000335693359,76.59297943115234,69.06200408935547,147.2009735107422,190.87615966796875
2024-07-16,83.677,40.54,91.6111068725586,91.54400634765624,43.33284378051758,127.775146484375,233.0214385986328,77.32906341552734,69.59837341308594,149.3031463623047,194.2990875244141
2024-07-17,82.98,40.9,91.42195129394533,92.45647430419922,43.66164779663086,126.14045715332033,223.9577178955078,78.32377624511719,69.63810729980469,149.98060607910156,191.0557861328125
2024-07-18,81.818,40.56,90.5159912109375,92.62507629394533,43.133567810058594,125.15365600585938,223.97769165039065,77.93584442138672,69.5785140991211,146.5733184814453,189.10980224609375
2024-07-19,81.1413,40.51,89.7095947265625,91.61343383789062,42.69515228271485,124.46589660644533,220.47396850585935,77.67721557617188,69.65796661376953,147.32052612304688,187.42327880859375
2024-07-22,81.3716,40.91,90.00826263427734,91.0381851196289,42.934288024902344,125.73178100585938,225.6945953369141,77.7269515991211,70.2439956665039,148.16737365722656,189.4890289306641
2024-07-23,81.9882,40.84,90.36666107177734,89.59014129638672,43.01399612426758,125.49256134033205,224.79620361328125,77.44843292236328,69.80696105957031,148.0777130126953,188.64076232910156
2024-07-24,80.7597,40.28,89.2118148803711,89.60005187988281,42.42613220214844,122.79132843017578,215.492919921875,77.3788070678711,70.59164428710938,149.31309509277344,180.9266815185547
2024-07-25,81.81,40.06,89.46070861816406,91.14728546142578,42.58555603027344,123.7781219482422,213.18707275390625,77.28927612304688,70.005615234375,148.56588745117188,180.2181396484375
2024-07-26,83.9932,40.73,90.9241714477539,91.43490600585938,43.25313186645508,125.89126586914062,215.89219665527344,78.07510375976562,70.69096374511719,149.40277099609375,182.23399353027344
2024-07-29,84.4806,40.99,91.08345794677734,90.65137481689452,43.1933479309082,125.6719741821289,214.93392944335935,78.10494232177734,71.0088119506836,149.492431640625,185.2777099609375
2024-07-30,86.5467,41.29,90.78479766845705,92.05974578857422,43.6915397644043,126.040771484375,209.53363037109375,77.57774353027344,71.37632751464844,149.6219482421875,184.2498321533203
2024-07-31,89.28,41.19,91.73057556152344,92.44654846191406,43.581939697265625,127.44621276855467,218.40768432617188,77.43848419189453,72.30006408691406,149.07400512695312,187.10394287109375
2024-08-01,87.21,41.83,91.36221313476562,89.99678039550781,42.96417999267578,125.0838851928711,210.26231384277344,78.15467834472656,73.60124969482422,150.5983123779297,182.5134124755859
2024-08-02,84.5924,41.86,89.63990783691406,87.67594909667969,41.90801239013672,122.33281707763672,204.3529357910156,78.84103393554688,73.72044372558594,150.29942321777344,175.79727172851562
2024-08-05,80.93,40.65,87.63883209228516,85.7419204711914,40.69241714477539,120.20970916748048,197.5451507568359,77.28927612304688,71.77363586425781,146.28439331054688,170.8275146484375
2024-08-06,86.23,41.55,88.08683776855469,86.26758575439453,41.35003280639648,121.65502166748048,200.23033142089844,77.82642364501953,72.37953186035156,146.9618682861328,172.71363830566406
2024-08-07,88.2836,41.25,86.89216613769531,86.61471557617188,41.39985275268555,121.06692504882812,196.9861602783203,77.90599822998047,72.7867660522461,145.46743774414062,169.69985961914062
2024-08-08,89.5044,41.6,88.23616790771484,88.47930908203125,42.06743240356445,123.8578643798828,204.34295654296875,78.61225128173828,72.86622619628906,148.68545532226562,173.40220642089844
2024-08-09,89.61,41.81,88.1664810180664,88.67768096923828,42.24678421020508,123.87779998779295,205.2613067626953,78.73161315917969,73.11454772949219,149.4226837158203,173.98101806640625
2024-08-12,87.3607,41.56,87.77821350097656,89.11406707763672,42.0275764465332,123.24983978271484,206.9382781982422,78.33373260498047,73.24366760253906,148.8548126220703,173.2924346923828
